,concept,question,id
1268,rifle,What are the properties of a rifle?,rifle
1270,ring,What are the properties of a ring?,ring
1272,road sign,What are the properties of a road sign?,road_sign
1274,robe,What are the properties of a robe?,robe
1275,robot,What are the properties of a robot?,robot
1276,rock,What are the properties of a rock?,rock
1277,rocket,What are the properties of a rocket?,rocket
1278,rocking chair,What are the properties of a rocking chair?,rocking_chair
1279,rocking horse,What are the properties of a rocking horse?,rocking_horse
1280,roll,What are the properties of a roll?,roll
1281,roller,What are the properties of a roller (garden tool)?,roller
1282,roller coaster,What are the properties of a roller coaster?,roller_coaster
1283,rollerblade,What are the properties of a rollerblade?,rollerblade
1284,rollerskate,What are the properties of a rollerskate?,rollerskate
1285,rolling pin,What are the properties of a rolling pin?,rolling_pin
1286,roof rack,What are the properties of a roof rack?,roof_rack
1287,rooster,What are the properties of a rooster?,rooster
1288,root,What are the properties of a root?,root
1289,rope,What are the properties of a rope?,rope
1290,rosary,What are the properties of a rosary?,rosary
1291,rose,What are the properties of a rose?,rose
1292,roulette wheel,What are the properties of a roulette wheel?,roulette_wheel
1293,router,What are the properties of a router?,router
1294,rubber band,What are the properties of a rubber band?,rubber_band
1295,ruby,What are the properties of a ruby?,ruby
1296,rudder,What are the properties of a rudder?,rudder
1297,rug,What are the properties of a rug?,rug
1298,ruler,What are the properties of a ruler?,ruler
1299,rust,What are the properties of a rust?,rust
1301,safety pin,What are the properties of a safety pin?,safety_pin
1302,saffron,What are the properties of a saffron?,saffron
1303,sail,What are the properties of a sail?,sail
1304,sailboat,What are the properties of a sailboat?,sailboat
1305,salad,What are the properties of a salad?,salad
1306,salami,What are the properties of a salami?,salami
1307,saltshaker,What are the properties of a saltshaker?,saltshaker
1308,sand,What are the properties of a sand?,sand
1309,sandal,What are the properties of a sandal?,sandal
1310,sandbag,What are the properties of a sandbag?,sandbag
1311,sandbox,What are the properties of a sandbox?,sandbox
1312,sandcastle,What are the properties of a sandcastle?,sandcastle
1313,sandpaper,What are the properties of a sandpaper?,sandpaper
1314,sandwich,What are the properties of a sandwich?,sandwich
1315,sarcophagus,What are the properties of a sarcophagus?,sarcophagus
1316,sardine,"What are the properties of a sardine (fish, seafood, canned fish)?",sardine
1317,satellite,What are the properties of a satellite?,satellite
1318,satellite dish,What are the properties of a satellite dish?,satellite_dish
1319,sauce,What are the properties of a sauce?,sauce
1320,saucer,What are the properties of a saucer?,saucer
1321,sauerkraut,What are the properties of a sauerkraut?,sauerkraut
1322,sausage,What are the properties of a sausage?,sausage
1323,saw,What are the properties of a saw?,saw
1324,sawhorse,What are the properties of a sawhorse?,sawhorse
1325,saxophone,What are the properties of a saxophone?,saxophone
1326,scaffold,What are the properties of a scaffold?,scaffold
1327,scaffolding,What are the properties of a scaffolding?,scaffolding
1329,scallion,What are the properties of a scallion?,scallion
1330,scallop,What are the properties of a scallop?,scallop
1331,scalpel,What are the properties of a scalpel?,scalpel
1333,scarecrow,What are the properties of a scarecrow?,scarecrow
1334,scarf,What are the properties of a scarf?,scarf
1335,school bus,What are the properties of a school bus?,school_bus
1336,scissors,What are the properties of scissors?,scissors
1337,scone,What are the properties of a scone?,scone
1340,scoreboard,What are the properties of a scoreboard?,scoreboard
1341,scorpion,What are the properties of a scorpion?,scorpion
1342,scrabble,What are the properties of a scrabble?,scrabble
1343,scrambled egg,What are the properties of a scrambled egg?,scrambled_egg
1344,scraper,What are the properties of a scraper?,scraper
1345,screw,What are the properties of a screw?,screw
1346,screwdriver,What are the properties of a screwdriver?,screwdriver
1347,scuba,What are the properties of a scuba?,scuba
1348,sea urchin,What are the properties of a sea urchin?,sea_urchin
1349,seafood,What are the properties of a seafood?,seafood
1350,seagull,What are the properties of a seagull?,seagull
1351,seahorse,What are the properties of a seahorse?,seahorse
1352,seal,What are the properties of a seal?,seal
1353,seaplane,What are the properties of a seaplane?,seaplane
1354,seatbelt,What are the properties of a seatbelt?,seatbelt
1355,seaweed,What are the properties of a seaweed?,seaweed
1356,seed,What are the properties of a seed?,seed
1357,seesaw,What are the properties of a seesaw?,seesaw
1358,seismograph,What are the properties of a seismograph?,seismograph
1359,sequin,What are the properties of a sequin?,sequin
1360,sewage,What are the properties of a sewage?,sewage
1361,sewing kit,What are the properties of a sewing kit?,sewing_kit
1362,sewing machine,What are the properties of a sewing machine?,sewing_machine
1363,shaker,What are the properties of a shaker?,shaker
1364,shark,What are the properties of a shark?,shark
1365,shaving cream,What are the properties of a shaving cream?,shaving_cream
1366,shawl,What are the properties of a shawl?,shawl
1367,shears,What are the properties of shears?,shears
1369,sheep,What are the properties of a sheep?,sheep
1370,sheet,What are the properties of a sheet (bedding)?,sheet
1371,shelf,What are the properties of a shelf?,shelf
1372,shield,What are the properties of a shield?,shield
1373,ship,What are the properties of a ship?,ship
1374,shirt,What are the properties of a shirt?,shirt
1375,shoe,What are the properties of a shoe?,shoe
1376,shoe polish,What are the properties of a shoe polish?,shoe_polish
1377,shoehorn,What are the properties of a shoehorn?,shoehorn
1378,shoelace,What are the properties of a shoelace?,shoelace
1379,shopping basket,What are the properties of a shopping basket?,shopping_basket
1380,shopping cart,What are the properties of a shopping cart?,shopping_cart
1381,shortbread,What are the properties of a shortbread?,shortbread
1382,shorts,What are the properties of shorts?,shorts
1384,shovel,What are the properties of a shovel?,shovel
1385,shower,What are the properties of a shower?,shower
1386,shower cap,What are the properties of a shower cap?,shower_cap
1387,shower curtain,What are the properties of a shower curtain?,shower_curtain
1388,showerhead,What are the properties of a showerhead?,showerhead
1389,shredder,What are the properties of a shredder?,shredder
1390,shrimp,What are the properties of a shrimp?,shrimp
1391,shuffleboard,What are the properties of a shuffleboard?,shuffleboard
1392,shutter,"What are the properties of a shutter (window covering, window accessory)?",shutter
1393,sickle,What are the properties of a sickle?,sickle
1395,sifter,What are the properties of a sifter?,sifter
1396,silicone,What are the properties of a silicone?,silicone
1397,silverware,What are the properties of a silverware?,silverware
1398,sim card,What are the properties of a sim card?,sim_card
1399,sink,What are the properties of a sink?,sink
1401,skateboard,What are the properties of a skateboard?,skateboard
1402,skeleton,What are the properties of a skeleton?,skeleton
1404,ski,What are the properties of a ski?,ski
1405,ski boots,What are the properties of ski boots?,ski_boots
1406,ski lift,What are the properties of a ski lift?,ski_lift
1407,ski pole,What are the properties of a ski pole?,ski_pole
1408,skin,What are the properties of a skin?,skin
1409,skirt,What are the properties of a skirt?,skirt
1410,skull,What are the properties of a skull?,skull
1411,skunk,What are the properties of a skunk?,skunk
1412,sled,What are the properties of a sled?,sled
1413,sledgehammer,What are the properties of a sledgehammer?,sledgehammer
1414,sleeping bag,What are the properties of a sleeping bag?,sleeping_bag
1415,slicer,What are the properties of a slicer?,slicer
1416,slide,What are the properties of a slide?,slide
1417,slime,What are the properties of a slime?,slime
1419,slingshot,What are the properties of a slingshot?,slingshot
1420,slipper,What are the properties of a slipper?,slipper
1422,slot machine,What are the properties of a slot machine?,slot_machine
1423,sloth,What are the properties of a sloth?,sloth
1424,slug,What are the properties of a slug?,slug
1425,smoke alarm,What are the properties of a smoke alarm?,smoke_alarm
1426,smoothie,What are the properties of a smoothie?,smoothie
1427,snack,What are the properties of a snack?,snack
1428,snail,What are the properties of a snail?,snail
1429,snake,What are the properties of a snake?,snake
1430,snorkel,What are the properties of a snorkel?,snorkel
1431,snow,What are the properties of a snow?,snow
1432,snowball,What are the properties of a snowball?,snowball
1433,snowboard,What are the properties of a snowboard?,snowboard
1434,snowman,What are the properties of a snowman?,snowman
1435,snowmobile,What are the properties of a snowmobile?,snowmobile
1436,snowplow,What are the properties of a snowplow?,snowplow
1437,snowshoe,What are the properties of a snowshoe?,snowshoe
1438,snowsuit,What are the properties of a snowsuit?,snowsuit
1439,soap,What are the properties of a soap?,soap
1440,soccer ball,What are the properties of a soccer ball?,soccer_ball
1441,sock,What are the properties of a sock?,sock
1442,soda,What are the properties of a soda?,soda
1443,soda fountain,What are the properties of a soda fountain?,soda_fountain
1444,sofa bed,What are the properties of a sofa bed?,sofa_bed
1445,solar panel,What are the properties of a solar panel?,solar_panel
1446,soldering iron,What are the properties of a soldering iron?,soldering_iron
1447,sombrero,What are the properties of a sombrero?,sombrero
1448,sonogram,What are the properties of a sonogram?,sonogram
1449,sorbet,What are the properties of a sorbet?,sorbet
1450,souffle,What are the properties of a souffle?,souffle
1451,soup,What are the properties of a soup?,soup
1452,soy sauce,What are the properties of a soy sauce?,soy_sauce
1453,space shuttle,What are the properties of a space shuttle?,space_shuttle
1454,spacesuit,What are the properties of a spacesuit?,spacesuit
1455,spaghetti,What are the properties of spaghetti?,spaghetti
1456,spam,What are the properties of a spam?,spam
1457,spareribs,What are the properties of spareribs?,spareribs
1458,spark plug,What are the properties of a spark plug?,spark_plug
1459,sparkler,What are the properties of a sparkler?,sparkler
1460,spatula,What are the properties of a spatula?,spatula
1461,speaker,What are the properties of a speaker?,speaker
1462,spear,What are the properties of a spear?,spear
1463,speedboat,What are the properties of a speedboat?,speedboat
1464,speedometer,What are the properties of a speedometer?,speedometer
1465,spider,What are the properties of a spider?,spider
1466,spider web,What are the properties of a spider web?,spider_web
1467,spinach,What are the properties of a spinach?,spinach
1468,splinter,What are the properties of a splinter?,splinter
1469,sponge,What are the properties of a sponge?,sponge
1470,spool,What are the properties of a spool?,spool
1471,spoon,What are the properties of a spoon?,spoon
1472,spout,What are the properties of a spout?,spout
1473,spring roll,What are the properties of a spring roll?,spring_roll
1474,springboard,What are the properties of a springboard?,springboard
1475,sprinkler,What are the properties of a sprinkler?,sprinkler
1476,sprouts,What are the properties of sprouts?,sprouts
1477,spur,What are the properties of a spur?,spur
1478,squash,What are the properties of a squash?,squash
1479,squeegee,What are the properties of a squeegee?,squeegee
1480,squid,What are the properties of a squid?,squid
1481,squirrel,What are the properties of a squirrel?,squirrel
1482,squirt gun,What are the properties of a squirt gun?,squirt_gun
1483,stained glass,What are the properties of a stained glass?,stained_glass
1484,stair,What are the properties of a stair?,stair
1485,stake,What are the properties of a stake?,stake
1486,stalagmite,What are the properties of a stalagmite?,stalagmite
1488,staple gun,What are the properties of a staple gun?,staple_gun
1489,stapler,What are the properties of a stapler?,stapler
1490,star fruit,What are the properties of a star fruit?,star_fruit
1491,starfish,What are the properties of a starfish?,starfish
1492,station wagon,What are the properties of a station wagon?,station_wagon
1493,statue,What are the properties of a statue?,statue
1494,steak,What are the properties of a steak?,steak
1495,steamroller,What are the properties of a steamroller?,steamroller
1496,steering wheel,What are the properties of a steering wheel?,steering_wheel
1497,stem,What are the properties of a stem?,stem
1498,step stool,What are the properties of a step stool?,step_stool
1499,stereo,What are the properties of a stereo?,stereo
1500,stethoscope,What are the properties of a stethoscope?,stethoscope
1501,stew,What are the properties of a stew?,stew
1502,stick,What are the properties of a stick (wood)?,stick
1503,sticker,What are the properties of a sticker?,sticker
1504,stiletto,What are the properties of a stiletto (shoe)?,stiletto
1506,stingray,What are the properties of a stingray?,stingray
1507,stir fry,What are the properties of a stir fry?,stir_fry
1508,stirrup,What are the properties of a stirrup?,stirrup
1509,stockings,What are the properties of stockings?,stockings
1510,stomach,What are the properties of a stomach?,stomach
1512,stopwatch,What are the properties of a stopwatch?,stopwatch
1513,straightjacket,What are the properties of a straightjacket?,straightjacket
1514,strainer,What are the properties of a strainer?,strainer
1515,strap,"What are the properties of a strap (securing device, fastener)?",strap
1516,strawberry,What are the properties of a strawberry?,strawberry
1517,streetlight,What are the properties of a streetlight?,streetlight
1518,stretcher,What are the properties of a stretcher?,stretcher
1519,string cheese,What are the properties of a string cheese?,string_cheese
1520,stroller,What are the properties of a stroller?,stroller
1521,stuffing,What are the properties of a stuffing?,stuffing
1522,stump,What are the properties of a stump?,stump
1523,submarine,What are the properties of a submarine?,submarine
1524,subway,What are the properties of a subway?,subway
1525,sugar cube,What are the properties of a sugar cube?,sugar_cube
1526,suit,What are the properties of a suit?,suit
1527,suitcase,What are the properties of a suitcase?,suitcase
1528,sundae,What are the properties of a sundae?,sundae
1529,sundial,What are the properties of a sundial?,sundial
1530,sunflower,What are the properties of a sunflower?,sunflower
1531,sunglasses,What are the properties of sunglasses?,sunglasses
1532,sunroof,What are the properties of a sunroof?,sunroof
1533,surfboard,What are the properties of a surfboard?,surfboard
1534,sushi,What are the properties of a sushi?,sushi
1535,suspenders,What are the properties of suspenders?,suspenders
1537,swan,What are the properties of a swan?,swan
1538,sweater,What are the properties of a sweater?,sweater
1539,sweatsuit,What are the properties of a sweatsuit?,sweatsuit
1540,sweeper,What are the properties of a sweeper?,sweeper
1541,sweet potato,What are the properties of a sweet potato?,sweet_potato
1542,swimming pool,What are the properties of a swimming pool?,swimming_pool
1543,swimsuit,What are the properties of a swimsuit?,swimsuit
1544,swing,What are the properties of a swing?,swing
1545,swing set,What are the properties of a swing set?,swing_set
1546,switch,What are the properties of a switch?,switch
1547,swizzle stick,What are the properties of a swizzle stick?,swizzle_stick
1548,sword,What are the properties of a sword?,sword
1549,swordfish,What are the properties of a swordfish?,swordfish
1550,syringe,What are the properties of a syringe?,syringe
1551,syrup,What are the properties of a syrup?,syrup
1552,t-shirt,What are the properties of a t-shirt?,t-shirt
1554,table,What are the properties of a table?,table
1555,tablecloth,What are the properties of a tablecloth?,tablecloth
1556,tablet,What are the properties of a tablet (electronic device)?,tablet
1558,tackle,What are the properties of a tackle (fishing equipment)?,tackle
1559,taco,What are the properties of a taco?,taco
1560,tadpole,What are the properties of a tadpole?,tadpole
1561,taffy,What are the properties of a taffy?,taffy
1563,taillight,What are the properties of a taillight?,taillight
1564,tamale,What are the properties of a tamale?,tamale
1565,tambourine,What are the properties of a tambourine?,tambourine
1567,tape measure,What are the properties of a tape measure?,tape_measure
1568,tape recorder,What are the properties of a tape recorder?,tape_recorder
1569,tapestry,What are the properties of a tapestry?,tapestry
1570,tarantula,What are the properties of a tarantula?,tarantula
1571,target,What are the properties of a target?,target
1572,tarp,What are the properties of a tarp?,tarp
1573,tattoo,What are the properties of a tattoo?,tattoo
1574,taxi,What are the properties of a taxi?,taxi
1575,tea,What are the properties of a tea?,tea
1576,teabag,What are the properties of a teabag?,teabag
1577,teacup,What are the properties of a teacup?,teacup
1578,teapot,What are the properties of a teapot?,teapot
1579,teddy bear,What are the properties of a teddy bear?,teddy_bear
1581,teepee,What are the properties of a teepee?,teepee
1582,telegraph,What are the properties of a telegraph?,telegraph
1583,telephone pole,What are the properties of a telephone pole?,telephone_pole
1584,telescope,What are the properties of a telescope?,telescope
1585,television,What are the properties of a television?,television
1586,tennis ball,What are the properties of a tennis ball?,tennis_ball
1587,tent,What are the properties of a tent?,tent
1588,terrarium,What are the properties of a terrarium?,terrarium
1589,test tube,What are the properties of a test tube?,test_tube
1590,thermometer,What are the properties of a thermometer?,thermometer
1591,thermos,What are the properties of a thermos?,thermos
1592,thermostat,What are the properties of a thermostat?,thermostat
1593,thimble,What are the properties of a thimble?,thimble
1594,thorn,What are the properties of a thorn?,thorn
1595,thread,What are the properties of a thread?,thread
1596,throne,What are the properties of a throne?,throne
1597,thumb,What are the properties of a thumb?,thumb
1598,thumbtack,What are the properties of a thumbtack?,thumbtack
1599,tiara,What are the properties of a tiara?,tiara
1600,tick,What are the properties of a tick?,tick
1601,ticktacktoe,What are the properties of a ticktacktoe?,ticktacktoe
1602,tie,What are the properties of a tie?,tie
1603,tiger,What are the properties of a tiger?,tiger
1605,timer,What are the properties of a timer?,timer
1606,tinsel,What are the properties of a tinsel?,tinsel
1607,tiramisu,What are the properties of a tiramisu?,tiramisu
1608,toad,What are the properties of a toad?,toad
1609,toast,What are the properties of a toast?,toast
1610,toaster,What are the properties of a toaster?,toaster
1611,toaster oven,What are the properties of a toaster oven?,toaster_oven
1612,toe,What are the properties of a toe?,toe
1613,toga,What are the properties of a toga?,toga
1614,toilet,What are the properties of a toilet?,toilet
1615,toilet paper,What are the properties of a toilet paper?,toilet_paper
1616,tomato,What are the properties of a tomato?,tomato
1617,tomato sauce,What are the properties of a tomato sauce?,tomato_sauce
1618,tongs,What are the properties of tongs?,tongs
1619,tongue,What are the properties of a tongue?,tongue
1620,tool,What are the properties of a tool?,tool
1621,toolbox,What are the properties of a toolbox?,toolbox
1622,tooth,What are the properties of a tooth?,tooth
1623,toothbrush,What are the properties of a toothbrush?,toothbrush
1624,toothpaste,What are the properties of a toothpaste?,toothpaste
1625,toothpick,What are the properties of a toothpick?,toothpick
1626,top hat,What are the properties of a top hat?,top_hat
1627,torch,What are the properties of a torch?,torch
1628,torpedo,What are the properties of a torpedo?,torpedo
1629,torso,What are the properties of a torso?,torso
1630,tortellini,What are the properties of tortellini?,tortellini
1631,tortilla,What are the properties of a tortilla?,tortilla
1632,tostada,What are the properties of a tostada?,tostada
1633,totem pole,What are the properties of a totem pole?,totem_pole
1634,toucan,What are the properties of a toucan?,toucan
1635,touchpad,What are the properties of a touchpad?,touchpad
1636,towel,What are the properties of a towel?,towel
1637,towel rack,What are the properties of a towel rack?,towel_rack
1638,toy,What are the properties of a toy?,toy
1639,tractor,What are the properties of a tractor?,tractor
1640,traffic light,What are the properties of a traffic light?,traffic_light
1641,trailer,What are the properties of a trailer?,trailer
1642,train,What are the properties of a train?,train
1643,train car,What are the properties of a train car?,train_car
1644,train set,What are the properties of a train set?,train_set
1645,trampoline,What are the properties of a trampoline?,trampoline
1646,trap,What are the properties of a trap (hunting equipment)?,trap
1647,trapdoor,What are the properties of a trapdoor?,trapdoor
1648,trashcan,What are the properties of a trashcan?,trashcan
1649,tray,What are the properties of a tray?,tray
1650,treadmill,What are the properties of a treadmill?,treadmill
1651,treasure,What are the properties of a treasure?,treasure
1652,tree,What are the properties of a tree?,tree
1653,tree trunk,What are the properties of a tree trunk?,tree_trunk
1654,triangle,What are the properties of a triangle (musical instrument)?,triangle
1655,tricycle,What are the properties of a tricycle?,tricycle
1656,trident,What are the properties of a trident?,trident
1657,trigger,What are the properties of a trigger?,trigger
1658,tripod,What are the properties of a tripod?,tripod
1660,trombone,What are the properties of a trombone?,trombone
1661,trophy,What are the properties of a trophy?,trophy
1662,trough,What are the properties of a trough?,trough
1663,trowel,What are the properties of a trowel?,trowel
1664,truck,What are the properties of a truck?,truck
1665,trumpet,What are the properties of a trumpet?,trumpet
1667,tuba,What are the properties of a tuba?,tuba
1668,tube top,What are the properties of a tube top?,tube_top
1669,tugboat,What are the properties of a tugboat?,tugboat
1670,tulip,What are the properties of a tulip?,tulip
1671,tumbleweed,What are the properties of a tumbleweed?,tumbleweed
1672,tuning fork,What are the properties of a tuning fork?,tuning_fork
1673,tupperware,What are the properties of a tupperware?,tupperware
1674,turban,What are the properties of a turban?,turban
1675,turbine,What are the properties of a turbine?,turbine
1676,turf,What are the properties of a turf?,turf
1677,turkey,What are the properties of a turkey?,turkey
1678,turnstile,What are the properties of a turnstile?,turnstile
1679,turntable,What are the properties of a turntable?,turntable
1680,turtle,What are the properties of a turtle?,turtle
1681,turtleneck,What are the properties of a turtleneck?,turtleneck
1682,tuxedo,What are the properties of a tuxedo?,tuxedo
1683,tweezers,What are the properties of tweezers?,tweezers
1684,twig,What are the properties of a twig?,twig
1685,typewriter,What are the properties of a typewriter?,typewriter
1686,ukulele,What are the properties of an ukulele?,ukulele
1687,umbrella,What are the properties of an umbrella?,umbrella
1688,undershirt,What are the properties of an undershirt?,undershirt
1689,underwear,What are the properties of an underwear?,underwear
1690,unicycle,What are the properties of an unicycle?,unicycle
1691,uniform,What are the properties of an uniform?,uniform
1692,urinal,What are the properties of an urinal?,urinal
1693,urn,What are the properties of an urn?,urn
1694,vacuum,What are the properties of a vacuum?,vacuum
1696,van,What are the properties of a van?,van
1697,vase,What are the properties of a vase?,vase
1698,vegetable,What are the properties of a vegetable?,vegetable
1699,veil,What are the properties of a veil?,veil
1700,velcro,What are the properties of a velcro?,velcro
1701,vending machine,What are the properties of a vending machine?,vending_machine
1702,vent,What are the properties of a vent?,vent
1703,vest,What are the properties of a vest?,vest
1704,vial,What are the properties of a vial?,vial
1705,videocassette,What are the properties of a videocassette?,videocassette
1706,videogame,What are the properties of a videogame?,videogame
1707,viewfinder,What are the properties of a viewfinder?,viewfinder
1708,violin,What are the properties of a violin?,violin
1709,vise,What are the properties of a vise?,vise
1710,visor,What are the properties of a visor?,visor
1711,volleyball,What are the properties of a volleyball?,volleyball
1712,vulture,What are the properties of a vulture?,vulture
1713,wafer,What are the properties of a wafer?,wafer
1714,waffle,What are the properties of a waffle?,waffle
1715,waffle iron,What are the properties of a waffle iron?,waffle_iron
1716,wagon,What are the properties of a wagon?,wagon
1717,wall,What are the properties of a wall?,wall
1718,wallet,What are the properties of a wallet?,wallet
1719,wallpaper,What are the properties of a wallpaper?,wallpaper
1720,walnut,What are the properties of a walnut?,walnut
1721,walrus,What are the properties of a walrus?,walrus
1722,wand,What are the properties of a wand?,wand
1723,warthog,What are the properties of a warthog?,warthog
1724,washboard,What are the properties of a washboard?,washboard
1725,washcloth,What are the properties of a washcloth?,washcloth
1726,washing machine,What are the properties of a washing machine?,washing_machine
1727,wasp,What are the properties of a wasp?,wasp
1728,watch,What are the properties of a watch?,watch
1729,water bottle,What are the properties of a water bottle?,water_bottle
1730,water cooler,What are the properties of a water cooler?,water_cooler
1731,water filter,What are the properties of a water filter?,water_filter
1733,water heater,What are the properties of a water heater?,water_heater
1734,watering can,What are the properties of a watering can?,watering_can
1735,watermelon,What are the properties of a watermelon?,watermelon
1736,waterwheel,What are the properties of a waterwheel?,waterwheel
1737,wax,What are the properties of a wax?,wax
1738,wax paper,What are the properties of a wax paper?,wax_paper
1739,weasel,What are the properties of a weasel?,weasel
1740,weather vane,What are the properties of a weather vane?,weather_vane
1741,webcam,What are the properties of a webcam?,webcam
1742,wedding cake,What are the properties of a wedding cake?,wedding_cake
1744,weed,What are the properties of a weed?,weed
1745,wetsuit,What are the properties of a wetsuit?,wetsuit
1746,whale,What are the properties of a whale?,whale
1747,wheat,What are the properties of a wheat?,wheat
1748,wheel,What are the properties of a wheel?,wheel
1749,wheelbarrow,What are the properties of a wheelbarrow?,wheelbarrow
1750,wheelchair,What are the properties of a wheelchair?,wheelchair
1751,whip,What are the properties of a whip?,whip
1752,whipped cream,What are the properties of a whipped cream?,whipped_cream
1753,whisk,What are the properties of a whisk?,whisk
1754,whistle,What are the properties of a whistle?,whistle
1755,whiteboard,What are the properties of a whiteboard?,whiteboard
1756,whoopee cushion,What are the properties of a whoopee cushion?,whoopee_cushion
1757,wick,What are the properties of a wick?,wick
1758,wig,What are the properties of a wig?,wig
1759,wind chimes,What are the properties of wind chimes?,wind_chimes
1760,window,What are the properties of a window?,window
1761,windowsill,What are the properties of a windowsill?,windowsill
1762,windshield,What are the properties of a windshield?,windshield
1763,windshield wiper,What are the properties of a windshield wiper?,windshield_wiper
1764,windsock,What are the properties of a windsock?,windsock
1765,wine,What are the properties of a wine?,wine
1766,wine bottle,What are the properties of a wine bottle?,wine_bottle
1768,wineglass,What are the properties of a wineglass?,wineglass
1770,wire,What are the properties of a wire?,wire
1771,wire cutters,What are the properties of wire cutters?,wire_cutters
1772,wok,What are the properties of a wok?,wok
1773,wolf,What are the properties of a wolf?,wolf
1774,woman,What are the properties of a woman?,woman
1775,wood,What are the properties of a wood?,wood
1776,wooden leg,What are the properties of a wooden leg?,wooden_leg
1777,workbench,What are the properties of a workbench?,workbench
1778,worm,What are the properties of a worm?,worm
1779,wrap,What are the properties of a wrap (food)?,wrap
1780,wrapping paper,What are the properties of a wrapping paper?,wrapping_paper
1781,wreath,What are the properties of a wreath?,wreath
1782,wreck,What are the properties of a wreck?,wreck
1783,wrench,What are the properties of a wrench?,wrench
1784,wrist,What are the properties of a wrist?,wrist
1785,xylophone,What are the properties of a xylophone?,xylophone
1786,yacht,What are the properties of a yacht?,yacht
1787,yak,What are the properties of a yak?,yak
1788,yarn,What are the properties of a yarn?,yarn
1789,yo-yo,What are the properties of a yo-yo?,yo-yo
1790,yogurt,What are the properties of a yogurt?,yogurt
1791,yoke,What are the properties of a yoke?,yoke
1792,yolk,What are the properties of a yolk?,yolk
1793,zebra,What are the properties of a zebra?,zebra
1794,zipper,What are the properties of a zipper?,zipper
1795,zucchini,What are the properties of a zucchini?,zucchini
1796,bat,What are the properties of a bat (animal)?,bat1
1797,bat,What are the properties of a bat (sports equipment)?,bat2
1798,baton,What are the properties of a baton (musical equipment)?,baton1
1799,baton,What are the properties of a baton (weapon)?,baton2
1801,baton,What are the properties of a baton (sports equipment)?,baton4
1802,bow,What are the properties of a bow (hair accessory)?,bow1
1803,bow,"What are the properties of a bow (weapon, hunting equipment)?",bow2
1804,bow,"What are the properties of a bow (decoration, gift decoration)?",bow3
1806,bracelet,What are the properties of a bracelet (jewelry)?,bracelet2
1807,button,"What are the properties of a button (clothing accessory, clothing fastener)?",button1
1808,button,What are the properties of a button (activator)?,button2
1809,calf,"What are the properties of a calf (baby animal, animal)?",calf1
1811,camera,"What are the properties of a camera (recording device, electronic device)?",camera1
1812,camera,"What are the properties of a camera (camera accessory, photography equipment)?",camera2
1813,chest,What are the properties of a chest (body part)?,chest1
1814,chest,"What are the properties of a chest (furniture, storage)?",chest2
1815,chicken,"What are the properties of a chicken (bird, animal, farm animal)?",chicken1
1816,chicken,What are the properties of a chicken (fencing)?,chicken2
1817,clipper,What are the properties of a clipper (garden tool)?,clipper1
1818,clipper,What are the properties of a clipper (grooming tool)?,clipper2
1819,crystal,"What are the properties of a crystal (rock, mineral, gemstone)?",crystal1
1820,crystal,What are the properties of a crystal (fortune telling device)?,crystal2
1821,file,What are the properties of a file (tool)?,file1
1824,hook,"What are the properties of a hook (hardware, tool)?",hook2
1826,juicer,What are the properties of a juicer (kitchen appliance)?,juicer2
1827,mold,What are the properties of a mold (baking tool)?,mold1
1828,mold,What are the properties of a mold (fungus)?,mold2
1829,mouse,"What are the properties of a mouse (rodent, animal)?",mouse1
1831,pepper,What are the properties of a pepper (vegetable)?,pepper1
1832,pepper,What are the properties of a pepper (kitchen tool)?,pepper2
1833,pipe,What are the properties of a pipe (smoking device)?,pipe1
1834,pipe,What are the properties of a pipe (plumbing equipment)?,pipe2
1835,punch,What are the properties of a punch (drink)?,punch1
1837,rack,"What are the properties of a rack (storage equipment, furniture, storage)?",rack1
1838,rack,What are the properties of a rack (furniture)?,rack2
1840,screen,"What are the properties of a screen (mesh, barrier)?",screen2
1841,shell,What are the properties of a shell (ammunition)?,shell1
1842,shell,"What are the properties of a shell (animal part, exoskeleton)?",shell2
1844,stamp,What are the properties of a stamp (postage)?,stamp1
1845,stamp,"What are the properties of a stamp (craft supply, art supply)?",stamp2
1847,stove,What are the properties of a stove (kitchen appliance)?,stove2
1848,straw,"What are the properties of a straw (animal food, agricultural product)?",straw1
1849,straw,What are the properties of a straw (drinking utensil)?,straw2
1850,tank,What are the properties of a tank (military vehicle)?,tank1
1851,tank,"What are the properties of a tank (container, storage)?",tank2
1852,walker,"What are the properties of a walker (mobility device, medical equipment)?",walker1
1853,walker,"What are the properties of a walker (baby equipment, baby toy)?",walker2
0,aardvark,What are the properties of an aardvark (animal)?,aardvark
1,acorn,What are the properties of an acorn (nut)?,acorn
2,album,What are the properties of an album (book)?,album
3,aluminum foil,"What are the properties of an aluminum foil (food packaging, food storage)?",aluminum_foil
4,balance beam,What are the properties of a balance beam (gymnastics equipment)?,balance_beam
5,bank,What are the properties of a bank (money storage container)?,bank
6,banner,What are the properties of a banner (sign)?,banner
7,baseball,What are the properties of a baseball (sports equipment)?,baseball
8,basketball,What are the properties of a basketball (sports equipment)?,basketball
9,bin,What are the properties of a bin (container)?,bin
10,blind,What are the properties of a blind (window covering)?,blind
11,blinder,What are the properties of a blinder (horse equipment)?,blinder
12,boa,What are the properties of a boa (feather boa)?,boa
13,board,"What are the properties of a board (building material, wood)?",board
