preprocessed_feature,concept_id,run_nr,amount_runs_feature_occured,amount_runs_feature_occured_within_concept,decoded_feature
it is juicy,grapefruit,26,10,10,is juicy
it has a slightly bitter taste,grapefruit,26,10,4,has a slightly bitter taste
it is rich in vitamin c,grapefruit,26,8,6,is rich in vitamin c
it comes in various colors (such as pink,grapefruit,26,10,1,comes in various colors
it grows on trees,grapefruit,26,10,7,grows on trees
it has a segmented interior,grapefruit,26,2,2,has a segmented interior
it is a kitchen tool,grater,26,5,4,is a kitchen tool
it is used for shredding or grating food items,grater,26,2,2,is used to shred or grating food items
it has sharp edges or holes,grater,26,4,4,has sharp holes
it has sharp edges or holes,grater,26,8,8,has sharp edges
it is made of metal or plastic,grater,26,10,10,is made of metal
it is made of metal or plastic,grater,26,10,6,is made of plastic
it has a handle,grater,26,10,10,has a handle
it is used for grating cheese,grater,26,6,6,is used to grate cheese
it is a manual tool,grater,26,3,1,is a manual tool
it is a manual tool,grater,26,10,2,is a tool
it is a manual tool,grater,26,10,1,is manual
it has various hole sizes for different textures,grater,26,1,1,has various hole sizes for different textures
it is an insect,grasshopper,26,10,10,is an insect
it has six legs,grasshopper,26,10,8,has six legs
it can jump,grasshopper,26,10,6,jumps
it is green or brown,grasshopper,26,10,10,is green
it is green or brown,grasshopper,26,10,8,is brown
it has wings,grasshopper,26,10,10,has wings
it can fly,grasshopper,26,10,8,flies
it is a herbivore,grasshopper,26,10,2,is a herbivore
it has antennae,grasshopper,26,10,10,has antennae
it makes a chirping sound (stridulation),grasshopper,26,4,4,makes a chirping sound
it has a hard exoskeleton,grasshopper,26,10,4,has a hard exoskeleton
it undergoes incomplete metamorphosis,grasshopper,26,5,5,undergoes incomplete metamorphosis
it is a musical instrument,guitar,26,10,10,is an instrument
it is a musical instrument,guitar,26,10,10,is a musical instrument
it is a musical instrument,guitar,26,10,10,is musical
it has strings,guitar,26,10,10,has strings
it is made of wood,guitar,26,10,9,is made of wood
it is used for playing music,guitar,26,4,4,is used to play music
it has a hollow body,guitar,26,6,6,has a hollow body
it has a neck,guitar,26,10,9,has a neck
it has frets,guitar,26,10,9,has frets
it can be acoustic or electric,guitar,26,10,8,is electric
it can be acoustic or electric,guitar,26,8,8,is acoustic
it is played by strumming or plucking the strings,guitar,26,1,1,is played by strumming or plucking the strings
it produces sound,guitar,26,10,3,produces sound
it has tuning pegs,guitar,26,10,9,has tuning pegs
it is a weapon,grenade,26,10,9,is a weapon
it is explosive,grenade,26,10,10,is explosive
it is small,grenade,26,10,10,is small
it is handheld,grenade,26,10,5,is handheld
it has a pin,grenade,26,9,8,has a pin
it has a safety lever,grenade,26,8,8,has a safety lever
it can be thrown,grenade,26,7,6,is thrown
it has a timed fuse,grenade,26,6,6,has a timed fuse
it is used in military and combat situations,grenade,26,1,1,is used in combat situations
it is used in military and combat situations,grenade,26,4,3,is used in military
it can cause damage and injury,grenade,26,2,2,causes damage and injury
it releases shrapnel upon detonation,grenade,26,3,3,releases shrapnel upon detonation
it is a weapon,gun,26,10,9,is a weapon
it is used for shooting,gun,26,4,3,is used to shoot
it is made of metal,gun,26,10,9,is made of metal
it has a trigger,gun,26,10,10,has a trigger
it uses bullets or ammunition,gun,26,6,4,uses bullets
it uses bullets or ammunition,gun,26,3,3,uses ammunition
it can be dangerous,gun,26,10,7,is dangerous
it can be used for self-defense,gun,26,10,10,is used for self - defense
it can be used for hunting,gun,26,10,5,is used to hunt
it has a barrel,gun,26,10,9,has a barrel
it can be single-shot or multi-shot,gun,26,1,1,is single - shot or multi - shot
it is a small mammal,hamster,26,10,7,is a mammal
it is a small mammal,hamster,26,10,10,is small
it is a small mammal,hamster,26,2,1,is a small mammal
it has fur,hamster,26,10,8,has fur
it is a rodent,hamster,26,10,9,is a rodent
it has 4 legs,hamster,26,10,3,has four legs
it has whiskers,hamster,26,10,10,has whiskers
it has small ears,hamster,26,10,9,has small ears
it has a short tail,hamster,26,9,9,has a short tail
it is a pet,hamster,26,10,10,is a pet
it is nocturnal,hamster,26,10,10,is nocturnal
it lives in burrows,hamster,26,9,2,lives in burrows
it stores food in cheek pouches,hamster,26,3,3,stores food in cheek pouches
it is omnivorous,hamster,26,10,1,is omnivorous
it is a tool,hammer,26,10,4,is a tool
it has a handle,hammer,26,10,9,has a handle
it is used for striking,hammer,26,5,1,is used to strike
it has a metal head,hammer,26,2,2,has a metal head
it is used in construction,hammer,26,10,9,is used in construction
it is used for driving nails,hammer,26,3,3,is used for driving nails
it can be used for demolition,hammer,26,7,4,is used for demolition
it has a claw for removing nails,hammer,26,8,8,has a claw for removing nails
it is sturdy,hammer,26,10,1,is sturdy
it comes in various sizes and weights,hammer,26,2,1,comes in various sizes and weights
it is a musical instrument,harmonica,26,10,10,is an instrument
it is a musical instrument,harmonica,26,10,10,is a musical instrument
it is a musical instrument,harmonica,26,10,10,is musical
it is small,harmonica,26,10,10,is small
it is portable,harmonica,26,10,10,is portable
it is played by blowing air into it,harmonica,26,10,9,is played by blowing air into it
it has reeds,harmonica,26,9,6,has reeds
it produces sound,harmonica,26,10,7,produces sound
it has multiple holes,harmonica,26,6,6,has multiple holes
it is used in various music genres like blues and folk,harmonica,26,6,6,is used in various music genres like blues
it is used in various music genres like blues and folk,harmonica,26,8,4,is used in folk
it is made of metal and/or plastic,harmonica,26,1,1,is made of metal and/or plastic
it can be played by inhaling and exhaling,harmonica,26,1,1,is played by inhaling and exhaling
it is a musical instrument,harp,26,10,10,is an instrument
it is a musical instrument,harp,26,10,10,is a musical instrument
it is a musical instrument,harp,26,10,10,is musical
it has strings,harp,26,10,10,has strings
it is played by plucking,harp,26,8,8,is played by plucking
it is large,harp,26,10,6,is large
it has a triangular frame,harp,26,2,2,has a triangular frame
it is a stringed instrument,harp,26,8,1,is a stringed instrument
it can produce a wide range of notes,harp,26,2,1,produces a wide range of notes
it has a resonating body,harp,26,2,2,has a resonating body
it is often used in orchestras and classical music,harp,26,1,1,is often used in orchestras and classical music
it has a rich and ethereal sound,harp,26,1,1,has a rich and ethereal sound
it is a tool,hatchet,26,10,9,is a tool
it has a sharp blade,hatchet,26,6,4,has a sharp blade
it is used for cutting,hatchet,26,10,5,is used to cut
it is made of metal,hatchet,26,10,8,is made of metal
it has a handle,hatchet,26,10,7,has a handle
it is used for chopping wood,hatchet,26,10,4,is used to chop wood
it is handheld,hatchet,26,10,2,is handheld
it is sturdy,hatchet,26,10,1,is sturdy
it is heavy,hatchet,26,10,4,is heavy
it can be used as a weapon,hatchet,26,10,7,is used as a weapon
it is a bird,hawk,26,10,10,is a bird
it has wings,hawk,26,10,4,has wings
it is a predator,hawk,26,10,10,is a predator
it has sharp talons,hawk,26,9,9,has sharp talons
it has a hooked beak,hawk,26,9,9,has a hooked beak
it is carnivorous,hawk,26,10,5,is carnivorous
it can fly,hawk,26,10,10,flies
it has keen eyesight,hawk,26,5,5,has keen eyesight
it is fast,hawk,26,9,7,is fast
it hunts for prey,hawk,26,4,3,hunts for prey
it is a raptor,hawk,26,7,7,is a raptor
it has feathers,hawk,26,10,7,has feathers
it is an aircraft,helicopter,26,5,5,is an aircraft
it has rotors,helicopter,26,6,6,has rotors
it can hover,helicopter,26,9,9,hovers
it can take off and land vertically,helicopter,26,4,4,takes off and land vertically
it is powered by an engine,helicopter,26,9,7,is powered by an engine
it has a fuselage,helicopter,26,1,1,has a fuselage
it can fly forwards,helicopter,26,1,1,flies forwards
it is used for transportation,helicopter,26,10,10,is used for transportation
it can carry passengers and cargo,helicopter,26,5,1,carries passengers and cargo
it is used for emergency services and military operations,helicopter,26,1,1,is used for emergency services and military operations
it is protective,helmet,26,9,9,is protective
it is worn on the head,helmet,26,6,5,is worn on the head
it is hard,helmet,26,9,7,is hard
it is made of durable materials (like plastic,helmet,26,2,2,is made of durable materials
it has a chin strap,helmet,26,5,5,has a chin strap
it is used in sports and activities (such as cycling,helmet,26,1,1,is used in sports and activities
it absorbs impact,helmet,26,2,2,absorbs impact
it is a gardening tool,hoe,26,8,8,is a gardening tool
it has a long handle,hoe,26,10,10,has a long handle
it is used for cultivating soil,hoe,26,5,5,is used to cultivate soil
it has a flat blade,hoe,26,10,10,has a flat blade
it is used for weeding,hoe,26,10,10,is used to weed
it is made of metal and wood,hoe,26,10,10,is made of metal
it is made of metal and wood,hoe,26,10,9,is made of wood
it is manual,hoe,26,10,3,is manual
it is used in agriculture,hoe,26,10,7,is used in agriculture
it is sturdy,hoe,26,10,1,is sturdy
it is flexible,hose,26,10,10,is flexible
it is cylindrical,hose,26,10,10,is cylindrical
it is used for transporting water or other fluids,hose,26,2,2,is used to transport water or other fluids
it is made of rubber or plastic,hose,26,10,10,is made of plastic
it is made of rubber or plastic,hose,26,10,10,is made of rubber
it has a hollow interior,hose,26,4,1,has a hollow interior
it can be connected to a faucet or other water sources,hose,26,1,1,is connected to a faucet or other water sources
it has fittings or connectors at the ends,hose,26,1,1,has fittings or connectors at the ends
it can be coiled for storage,hose,26,4,4,is coiled for storage
it can be extended in length,hose,26,1,1,is extended in length
it is a mammal,horse,26,10,10,is a mammal
it has four legs,horse,26,10,8,has four legs
it is a domesticated animal,horse,26,9,3,is a domesticated animal
it is a domesticated animal,horse,26,10,3,is an animal
it is a domesticated animal,horse,26,10,8,is domesticated
it is used for riding and transportation,horse,26,9,9,is used to ride
it is used for riding and transportation,horse,26,10,8,is used for transportation
it has hooves,horse,26,10,9,has hooves
it is herbivorous,horse,26,10,8,is herbivorous
it has a mane and tail,horse,26,1,1,has a mane and tail
it is strong and fast,horse,26,10,9,is strong
it is strong and fast,horse,26,9,2,is fast
it is large,horse,26,10,6,is large
it has various breeds and colors,horse,26,1,1,has various breeds and colors
it is a mammal,hyena,26,10,10,is a mammal
it has fur,hyena,26,10,7,has fur
it is a carnivore,hyena,26,10,9,is a carnivore
it has four legs,hyena,26,10,6,has four legs
it is a scavenger,hyena,26,10,9,is a scavenger
it lives in africa and asia,hyena,26,10,6,lives in africa and asia
it has a distinctive laugh-like vocalization,hyena,26,6,6,has a distinctive laugh - like vocalization
it is part of the family hyaenidae,hyena,26,2,2,is part of the family hyaenidae
it has strong jaws,hyena,26,8,7,has strong jaws
it is nocturnal,hyena,26,10,9,is nocturnal
it is a reptile,iguana,26,10,10,is a reptile
it has 4 legs,iguana,26,10,1,has four legs
it has a long tail,iguana,26,10,10,has a long tail
it is an animal,iguana,26,10,1,is an animal
it is cold-blooded,iguana,26,10,10,is cold - blooded
it has scales,iguana,26,10,10,has scales
it is a lizard,iguana,26,1,1,is a lizard
it can change color,iguana,26,9,6,changes color
it is an herbivore,iguana,26,8,3,is a herbivore
it has a dewlap (a flap of skin under its chin),iguana,26,6,6,has a dewlap
it has sharp claws,iguana,26,10,9,has sharp claws
it is clothing,jacket,26,2,1,is clothing
it is worn on the upper body,jacket,26,8,8,is worn on the upper body
it has sleeves,jacket,26,10,10,has sleeves
it provides warmth,jacket,26,10,8,provides warmth
it has a zipper or buttons for fastening,jacket,26,1,1,has a zipper or buttons for fastening
it is made of fabric,jacket,26,10,7,is made of fabric
it comes in various sizes and styles,jacket,26,9,2,comes in various sizes and styles
it can be waterproof,jacket,26,10,6,is waterproof
it can have pockets,jacket,26,10,10,has pockets
it can have a collar or hood,jacket,26,10,6,has a hood
it can have a collar or hood,jacket,26,10,4,has a collar
they are clothing,jeans,26,2,2,is clothing
they are made of denim,jeans,26,10,10,is made of denim
they are typically blue,jeans,26,2,2,is typically blue
they have pockets,jeans,26,10,10,has pockets
they have a zipper or button closure,jeans,26,3,3,has a zipper or button closure
they are worn on the lower body,jeans,26,1,1,is worn on the lower body
they are casual wear,jeans,26,8,8,is casual wear
they can be worn by both men and women,jeans,26,5,4,is worn by both men and women
they can come in various sizes and styles (e.g. skinny,jeans,26,9,6,comes in various sizes and styles
it is a container,jar,26,7,4,is a container
it is typically made of glass or plastic,jar,26,2,1,is typically made of glass
it is typically made of glass or plastic,jar,26,1,1,is typically made of plastic
it has a lid or cap,jar,26,2,1,has a lid or cap
it is used for storing and preserving food or other items,jar,26,1,1,is used to store and preserving food or other items
it is cylindrical in shape,jar,26,6,1,is cylindrical in shape
it can be transparent or opaque,jar,26,10,2,is opaque
it can be transparent or opaque,jar,26,10,10,is transparent
it can be reusable,jar,26,10,8,is reusable
it can come in various sizes,jar,26,10,7,comes in various sizes
it can have a screw-top or airtight seal,jar,26,1,1,has a screw - top or airtight seal
it is a vehicle,jeep,26,10,9,is a vehicle
it has four wheels,jeep,26,10,10,has four wheels
it is designed for off-road use,jeep,26,2,2,is designed for off - road use
it has a rugged construction,jeep,26,1,1,has a rugged construction
it is typically a 4x4 drive,jeep,26,1,1,is typically a 4x4 drive
it has a high ground clearance,jeep,26,6,6,has a high ground clearance
it is used for transportation,jeep,26,10,2,is used for transportation
it has an engine,jeep,26,10,2,has an engine
it can carry passengers and cargo,jeep,26,5,2,carries passengers and cargo
it often has a removable top or convertible roof,jeep,26,1,1,often has a removable top or convertible roof
it is an appliance,kettle,26,10,4,is an appliance
it is used for boiling water,kettle,26,7,7,is used for boiling water
it is electrical,kettle,26,6,1,is electrical
it has a handle,kettle,26,10,10,has a handle
it has a spout,kettle,26,10,10,has a spout
it has a lid,kettle,26,10,10,has a lid
it is found in kitchens,kettle,26,10,1,is found in kitchens
it has an on/off switch,kettle,26,10,10,has an on / off switch
it has a power cord,kettle,26,8,4,has a power cord
it is made of metal or plastic,kettle,26,10,10,is made of metal
it is made of metal or plastic,kettle,26,10,10,is made of plastic
it is made of metal,key,26,10,10,is made of metal
it is used for unlocking or locking,key,26,4,4,is used to lock
it is used for unlocking or locking,key,26,5,5,is used to unlock
it has teeth or grooves,key,26,3,2,has grooves
it has teeth or grooves,key,26,10,10,has teeth
it is small,key,26,10,10,is small
it can be carried on a keychain,key,26,2,2,is carried on a keychain
it is inserted into a lock,key,26,2,2,is inserted into a lock
it is used for security,key,26,8,5,is used for security
it has a unique shape,key,26,10,6,has a unique shape
it can be made of brass or steel,key,26,10,2,is made of brass
it can be made of brass or steel,key,26,4,2,is made of steel
it is lightweight,kite,26,10,10,is lightweight
it can fly,kite,26,10,7,flies
it is an object,kite,26,2,1,is an object
it has a string or line,kite,26,2,2,has a line
it has a string or line,kite,26,6,3,has strings
it is made of fabric or paper,kite,26,10,10,is made of fabric
it is made of fabric or paper,kite,26,10,10,is made of paper
it has a frame,kite,26,10,8,has a frame
it is used for recreation,kite,26,10,6,is used for recreation
it is controlled by the user,kite,26,1,1,is controlled by the user
it is affected by wind,kite,26,1,1,is affected by wind
it comes in various shapes and sizes,kite,26,10,9,comes in various shapes and sizes
it can have a tail for stability,kite,26,4,4,has a tail for stability
it is a young sheep,lamb,26,2,2,is a young sheep
it is a young sheep,lamb,26,2,2,is a sheep
it is a young sheep,lamb,26,10,10,is young
it is an animal,lamb,26,10,5,is an animal
it is a mammal,lamb,26,10,10,is a mammal
it has wool,lamb,26,10,8,has wool
it has four legs,lamb,26,10,6,has four legs
it is herbivorous,lamb,26,10,6,is herbivorous
it is domesticated,lamb,26,10,6,is domesticated
it is a livestock animal,lamb,26,4,3,is a livestock animal
it is used for meat and wool production,lamb,26,10,3,is used for meat
it is used for meat and wool production,lamb,26,5,5,is used for wool production
it is a ruminant,lamb,26,5,2,is a ruminant
it has a soft bleating sound,lamb,26,1,1,has a soft bleating sound
it is sharp,knife,26,10,7,is sharp
it is made of metal,knife,26,10,10,is made of metal
it has a handle,knife,26,10,10,has a handle
it is a tool,knife,26,10,9,is a tool
it is used for cutting,knife,26,10,10,is used to cut
it can be dangerous,knife,26,10,10,is dangerous
it comes in various sizes and shapes,knife,26,10,5,comes in various sizes and shapes
it can be serrated or smooth-edged,knife,26,5,5,is serrated or smooth - edged
it is found in kitchens,knife,26,10,1,is found in kitchens
it can be used for cooking and food preparation,knife,26,2,2,is used for cooking and food preparation
it provides light,lamp,26,10,10,provides light
it is an electrical device,lamp,26,6,3,is electrical
it is an electrical device,lamp,26,3,3,is an electrical device
it is an electrical device,lamp,26,10,3,is a device
it has a bulb,lamp,26,10,10,has a bulb
it has a power source (cord or battery),lamp,26,7,5,has a power source
it has a switch or button to turn on and off,lamp,26,1,1,has a switch or button to turn on and off
it is used for illumination,lamp,26,9,5,is used for illumination
it can have a shade or cover to diffuse light,lamp,26,1,1,has a shade or cover to diffuse light
it comes in various designs and styles,lamp,26,2,2,comes in various designs and styles
it can be portable or fixed,lamp,26,3,3,is portable or fixed
it is a kitchen utensil,ladle,26,7,5,is a kitchen utensil
it has a long handle,ladle,26,10,9,has a long handle
it is used for serving liquids,ladle,26,7,7,is used to serve liquids
it has a bowl-shaped end,ladle,26,8,6,has a bowl - shaped end
it is made of metal or plastic,ladle,26,10,9,is made of metal
it is made of metal or plastic,ladle,26,10,9,is made of plastic
it is used for scooping and pouring,ladle,26,1,1,is used to pour
it is used for scooping and pouring,ladle,26,4,1,is used to scoop
it can be used for serving soup or stews,ladle,26,2,2,is used to serve stews
it can be used for serving soup or stews,ladle,26,3,3,is used to serve soup
it is dishwasher safe,ladle,26,9,3,is dishwasher safe
it is heat resistant,ladle,26,4,1,is heat resistant
it is a fruit,lemon,26,10,10,is a fruit
it is yellow,lemon,26,10,10,is yellow
it is sour,lemon,26,10,9,is sour
it has a citrus flavor,lemon,26,6,3,has a citrus flavor
it has a tough outer rind,lemon,26,1,1,has a tough outer rind
it is high in vitamin c,lemon,26,8,3,is high in vitamin c
it grows on trees,lemon,26,10,9,grows on trees
it is used in cooking and baking,lemon,26,10,6,is used in baking
it is used in cooking and baking,lemon,26,10,8,is used in cooking
it has a strong aroma,lemon,26,9,8,has a strong aroma
it contains juice and pulp,lemon,26,1,1,contains pulp
it contains juice and pulp,lemon,26,1,1,contains juice
it is oval-shaped,lemon,26,10,5,is oval - shaped
it is a fruit,lime,26,10,9,is a fruit
it is green,lime,26,10,10,is green
it is sour,lime,26,10,9,is sour
it has a citrus flavor,lime,26,6,3,has a citrus flavor
it is acidic,lime,26,6,6,is acidic
it is small,lime,26,10,9,is small
it has a rind,lime,26,8,6,has a rind
it is juicy,lime,26,10,1,is juicy
it contains vitamin c,lime,26,10,8,contains vitamin c
it grows on trees,lime,26,10,7,grows on trees
it is used in cooking and beverages,lime,26,4,3,is used in beverages
it is used in cooking and beverages,lime,26,10,10,is used in cooking
it is a vegetable,lettuce,26,10,10,is a vegetable
it is green,lettuce,26,10,10,is green
it is leafy,lettuce,26,10,8,is leafy
it is edible,lettuce,26,10,8,is edible
it is used in salads,lettuce,26,10,7,is used in salads
it has a crunchy texture,lettuce,26,7,6,has a crunchy texture
it grows in the ground,lettuce,26,8,6,grows in the ground
it is low in calories,lettuce,26,10,9,is low in calories
it contains vitamins and minerals,lettuce,26,8,3,contains minerals
it contains vitamins and minerals,lettuce,26,8,3,contains vitamins
it has a mild flavor,lettuce,26,10,5,has a mild flavor
it has different varieties (such as iceberg,lettuce,26,4,2,has different varieties
it is a mammal,leopard,26,10,6,is a mammal
it is a carnivore,leopard,26,10,10,is a carnivore
it has spots,leopard,26,10,9,has spots
it is a big cat,leopard,26,10,8,is a big cat
it is a big cat,leopard,26,10,8,is large
it is a big cat,leopard,26,10,8,is a cat
it is fast,leopard,26,9,8,is fast
it is a predator,leopard,26,10,2,is a predator
it has retractable claws,leopard,26,10,5,has retractable claws
it has a strong bite,leopard,26,6,4,has a strong bite
it has a sleek body,leopard,26,5,2,has a sleek body
it lives in various habitats such as forests and savannas,leopard,26,3,3,lives in various habitats
it is agile,leopard,26,10,6,is agile
it is a source of light,lantern,26,1,1,is a source of light
it is portable,lantern,26,10,10,is portable
it can be fueled by oil,lantern,26,3,3,is fueled by oil
it has a protective casing,lantern,26,8,8,has a protective casing
it is often used for camping or outdoor activities,lantern,26,1,1,is often used for camping or outdoor activities
it can be hung or carried,lantern,26,2,2,is hung or carried
it has a handle,lantern,26,10,10,has a handle
it may have a glass or plastic enclosure to protect the flame or light source,lantern,26,1,1,may have a glass or plastic enclosure to protect the flame or light source
it is a vehicle,limousine,26,10,7,is a vehicle
it is long,limousine,26,10,10,is long
it has four wheels,limousine,26,10,3,has four wheels
it is luxurious,limousine,26,10,10,is luxurious
it is used for transportation,limousine,26,10,3,is used for transportation
it has a driver,limousine,26,10,1,has a driver
it is often used for special events,limousine,26,1,1,is often used for special events
it has multiple passenger seats,limousine,26,1,1,has multiple passenger seats
it has tinted windows,limousine,26,10,10,has tinted windows
it is a car,limousine,26,3,3,is a car
it runs on fuel or electricity,limousine,26,3,1,runs on electricity
it runs on fuel or electricity,limousine,26,9,1,runs on fuel
it is a mammal,lion,26,10,10,is a mammal
it is a carnivore,lion,26,10,10,is a carnivore
it is a big cat,lion,26,10,6,is a big cat
it is a big cat,lion,26,10,6,is large
it is a big cat,lion,26,10,7,is a cat
it has fur,lion,26,10,4,has fur
it has a mane (male lions),lion,26,10,10,has a mane
it has four legs,lion,26,10,1,has four legs
it has sharp teeth,lion,26,10,6,has sharp teeth
it has retractable claws,lion,26,10,2,has retractable claws
it is a predator,lion,26,10,8,is a predator
it lives in africa and parts of asia,lion,26,1,1,lives in africa and parts of asia
it is strong and muscular,lion,26,10,4,is strong
it is strong and muscular,lion,26,1,1,is muscular
it is a marine animal,lobster,26,10,6,is marine
it is a marine animal,lobster,26,10,7,is an animal
it is a marine animal,lobster,26,9,5,is a marine animal
it has a hard exoskeleton,lobster,26,10,5,has a hard exoskeleton
it has claws,lobster,26,10,10,has claws
it is a crustacean,lobster,26,10,10,is a crustacean
it lives in the ocean,lobster,26,10,9,lives in the ocean
it is edible,lobster,26,10,6,is edible
it turns red when cooked,lobster,26,2,2,turns red
it has antennae,lobster,26,10,9,has antennae
it has 10 legs (including claws),lobster,26,6,3,has ten legs
it has a long body,lobster,26,6,1,has a long body
it is considered a delicacy,lobster,26,4,4,is considered a delicacy
it is round,marble,26,10,10,is round
it is small,marble,26,10,10,is small
it is made of glass or stone,marble,26,9,9,is made of stone
it is made of glass or stone,marble,26,10,10,is made of glass
it has a smooth surface,marble,26,10,8,has a smooth surface
it is used for games,marble,26,3,2,is used in games
it can be colorful or transparent,marble,26,10,2,is colorful
it can be colorful or transparent,marble,26,10,8,is transparent
it is a toy,marble,26,10,3,is a toy
it can be used for decoration,marble,26,10,1,is used for decoration
it has a shiny appearance,marble,26,4,4,has a shiny appearance
it is an optical instrument,microscope,26,10,3,is an instrument
it is an optical instrument,microscope,26,2,2,is an optical instrument
it is an optical instrument,microscope,26,2,2,is optical
it magnifies objects,microscope,26,6,6,magnifies objects
it is used for scientific research,microscope,26,3,3,is used for scientific research
it has a lens,microscope,26,10,2,has a lens
it has an eyepiece,microscope,26,10,10,has an eyepiece
it has a stage,microscope,26,9,9,has a stage
it has a light source,microscope,26,10,10,has a light source
it is used for viewing small objects,microscope,26,5,5,is used to view small objects
it is used in laboratories,microscope,26,9,9,is used in laboratories
it has an adjustable focus,microscope,26,1,1,has an adjustable focus
it is precise,microscope,26,1,1,is precise
it is an appliance,microwave,26,10,10,is an appliance
it is electrical,microwave,26,6,1,is electrical
it is used for cooking,microwave,26,10,6,is used to cook
it uses electromagnetic waves,microwave,26,9,9,uses electromagnetic waves
it is found in kitchens,microwave,26,10,9,is found in kitchens
it has a timer,microwave,26,10,10,has a timer
it has a rotating turntable,microwave,26,2,2,has a rotating turntable
it heats food quickly,microwave,26,1,1,heats food quickly
it is used for defrosting,microwave,26,3,3,is used to defrost
it has different power settings,microwave,26,1,1,has different power settings
it has a digital display,microwave,26,3,3,has a digital display
it is a tool,machete,26,10,9,is a tool
it has a long blade,machete,26,7,7,has a long blade
it is sharp,machete,26,10,10,is sharp
it is used for cutting,machete,26,10,9,is used to cut
it is made of metal,machete,26,10,10,is made of metal
it has a handle,machete,26,10,10,has a handle
it is used for chopping vegetation,machete,26,3,3,is used to chop vegetation
it can be used as a weapon,machete,26,10,8,is used as a weapon
it is durable,machete,26,10,3,is durable
it is heavy,machete,26,10,7,is heavy
it is a mammal,moose,26,10,10,is a mammal
it is large,moose,26,10,10,is large
it has antlers,moose,26,10,10,has antlers
it is an herbivore,moose,26,8,2,is a herbivore
it lives in forests,moose,26,9,7,lives in forests
it is native to north america and europe,moose,26,10,6,is native to north america
it is native to north america and europe,moose,26,7,6,is europe
it has a long face,moose,26,2,2,has a long face
it has long legs,moose,26,10,8,has long legs
it has a brown coat,moose,26,2,2,has a brown coat
it is a member of the deer family,moose,26,8,8,is a member of the deer family
it is a strong swimmer,moose,26,10,2,is strong
it is a strong swimmer,moose,26,9,3,is a swimmer
it is a strong swimmer,moose,26,2,1,is a strong swimmer
it is reflective,mirror,26,9,9,is reflective
it is flat,mirror,26,10,7,is flat
it is made of glass,mirror,26,10,9,is made of glass
it has a smooth surface,mirror,26,10,6,has a smooth surface
it shows images,mirror,26,1,1,shows images
it can be framed,mirror,26,9,9,is framed
it can be hung on walls,mirror,26,1,1,is hung on walls
it is used for personal grooming,mirror,26,2,2,is used for personal grooming
it can be used for decoration,mirror,26,10,4,is used for decoration
it can be found in bathrooms and bedrooms,mirror,26,1,1,is found in bathrooms and bedrooms
it is a vehicle,motorcycle,26,10,5,is a vehicle
it has two wheels,motorcycle,26,10,10,has two wheels
it is powered by an engine,motorcycle,26,9,8,is powered by an engine
it is used for transportation,motorcycle,26,10,6,is used for transportation
it has a seat,motorcycle,26,10,10,has a seat
it has handlebars for steering,motorcycle,26,4,4,has handlebars for steering
it uses gasoline as fuel,motorcycle,26,1,1,uses gasoline as fuel
it can reach high speeds,motorcycle,26,4,3,reaches high speeds
it is smaller than a car,motorcycle,26,1,1,is smaller than a car
it is often used for recreational purposes,motorcycle,26,2,1,is often used for recreational purposes
it has brakes for stopping,motorcycle,26,2,2,has brakes for stopping
it is made of paper or cloth,napkin,26,10,10,is made of fabric
it is made of paper or cloth,napkin,26,10,10,is made of paper
it is used for wiping,napkin,26,8,8,is used to wipe
it is absorbent,napkin,26,10,10,is absorbent
it is soft,napkin,26,10,9,is soft
it comes in various sizes,napkin,26,10,7,comes in various sizes
it can be folded,napkin,26,7,5,is folded
it is used during meals,napkin,26,9,9,is used during meals
it can be disposable or reusable,napkin,26,10,3,is reusable
it can be disposable or reusable,napkin,26,10,10,is disposable
it can have printed designs or patterns,napkin,26,3,3,has printed designs
it can have printed designs or patterns,napkin,26,3,3,has printed patterns
it is an insect,moth,26,10,10,is an insect
it has wings,moth,26,10,10,has wings
it is nocturnal,moth,26,10,10,is nocturnal
it is attracted to light,moth,26,10,10,is attracted to light
it has antennae,moth,26,10,10,has antennae
it has a proboscis for feeding,moth,26,5,2,has a proboscis for feeding
it goes through metamorphosis,moth,26,10,6,goes through metamorphosis
it lays eggs,moth,26,10,9,lays eggs
it has six legs,moth,26,10,3,has six legs
it has two pairs of wings,moth,26,7,1,has two pairs of wings
it is covered in scales,moth,26,1,1,is covered in scales
it is a fungus,mushroom,26,10,10,is a fungus
it is edible (some species),mushroom,26,10,10,is edible
it grows in moist environments,mushroom,26,1,1,grows in moist environments
it has a cap and stem structure,mushroom,26,1,1,has a cap and stem structure
it reproduces through spores,mushroom,26,9,9,reproduces through spores
it can be found in various colors and shapes,mushroom,26,1,1,is found in various colors and shapes
it can grow on soil or decaying organic matter,mushroom,26,1,1,grows on soil or decaying organic matter
it is used in cooking and medicine,mushroom,26,4,1,is used in medicine
it is used in cooking and medicine,mushroom,26,10,9,is used in cooking
it is a container,mug,26,7,4,is a container
it holds liquids,mug,26,10,5,holds liquids
it is cylindrical,mug,26,10,9,is cylindrical
it has a handle,mug,26,10,10,has a handle
it is used for drinking,mug,26,10,10,is used to drink
it is made of ceramic or porcelain,mug,26,3,1,is made of ceramic or porcelain
it can be made of glass or metal,mug,26,10,6,is made of glass
it can be made of glass or metal,mug,26,10,4,is made of metal
