concept,question,id
turtleneck,What are the properties of a turtleneck?,turtleneck
tuxedo,What are the properties of a tuxedo?,tuxedo
tweezers,What are the properties of tweezers?,tweezers
twig,What are the properties of a twig?,twig
ukulele,What are the properties of an ukulele?,ukulele
undershirt,What are the properties of an undershirt?,undershirt
underwear,What are the properties of an underwear?,underwear
uniform,What are the properties of an uniform?,uniform
urinal,What are the properties of an urinal?,urinal
urn,What are the properties of an urn?,urn
vacuum,What are the properties of a vacuum?,vacuum
vase,What are the properties of a vase?,vase
vegetable,What are the properties of a vegetable?,vegetable
velcro,What are the properties of a velcro?,velcro
vending machine,What are the properties of a vending machine?,vending_machine
vent,What are the properties of a vent?,vent
vest,What are the properties of a vest?,vest
vial,What are the properties of a vial?,vial
videocassette,What are the properties of a videocassette?,videocassette
videogame,What are the properties of a videogame?,videogame
viewfinder,What are the properties of a viewfinder?,viewfinder
vise,What are the properties of a vise?,vise
visor,What are the properties of a visor?,visor
volleyball,What are the properties of a volleyball?,volleyball
vulture,What are the properties of a vulture?,vulture
wafer,What are the properties of a wafer?,wafer
waffle,What are the properties of a waffle?,waffle
waffle iron,What are the properties of a waffle iron?,waffle_iron
wagon,What are the properties of a wagon?,wagon
wall,What are the properties of a wall?,wall
wallet,What are the properties of a wallet?,wallet
wallpaper,What are the properties of a wallpaper?,wallpaper
walnut,What are the properties of a walnut?,walnut
warthog,What are the properties of a warthog?,warthog
washboard,What are the properties of a washboard?,washboard
washcloth,What are the properties of a washcloth?,washcloth
washing machine,What are the properties of a washing machine?,washing_machine
watch,What are the properties of a watch?,watch
water bottle,What are the properties of a water bottle?,water_bottle
water cooler,What are the properties of a water cooler?,water_cooler
water filter,What are the properties of a water filter?,water_filter
water heater,What are the properties of a water heater?,water_heater
watering can,What are the properties of a watering can?,watering_can
watermelon,What are the properties of a watermelon?,watermelon
waterwheel,What are the properties of a waterwheel?,waterwheel
wax,What are the properties of a wax?,wax
wax paper,What are the properties of a wax paper?,wax_paper
weasel,What are the properties of a weasel?,weasel
weather vane,What are the properties of a weather vane?,weather_vane
webcam,What are the properties of a webcam?,webcam
wedding cake,What are the properties of a wedding cake?,wedding_cake
weed,What are the properties of a weed?,weed
wetsuit,What are the properties of a wetsuit?,wetsuit
wheat,What are the properties of a wheat?,wheat
wheelchair,What are the properties of a wheelchair?,wheelchair
whipped cream,What are the properties of a whipped cream?,whipped_cream
whisk,What are the properties of a whisk?,whisk
whiteboard,What are the properties of a whiteboard?,whiteboard
whoopee cushion,What are the properties of a whoopee cushion?,whoopee_cushion
wick,What are the properties of a wick?,wick
wig,What are the properties of a wig?,wig
wind chimes,What are the properties of wind chimes?,wind_chimes
window,What are the properties of a window?,window
windowsill,What are the properties of a windowsill?,windowsill
windshield,What are the properties of a windshield?,windshield
windshield wiper,What are the properties of a windshield wiper?,windshield_wiper
windsock,What are the properties of a windsock?,windsock
wine,What are the properties of a wine?,wine
wine bottle,What are the properties of a wine bottle?,wine_bottle
wineglass,What are the properties of a wineglass?,wineglass
wire,What are the properties of a wire?,wire
wire cutters,What are the properties of wire cutters?,wire_cutters
wok,What are the properties of a wok?,wok
wolf,What are the properties of a wolf?,wolf
woman,What are the properties of a woman?,woman
wood,What are the properties of a wood?,wood
wooden leg,What are the properties of a wooden leg?,wooden_leg
workbench,What are the properties of a workbench?,workbench
wrap,What are the properties of a wrap (food)?,wrap
wrapping paper,What are the properties of a wrapping paper?,wrapping_paper
wreath,What are the properties of a wreath?,wreath
wreck,What are the properties of a wreck?,wreck
wrench,What are the properties of a wrench?,wrench
wrist,What are the properties of a wrist?,wrist
xylophone,What are the properties of a xylophone?,xylophone
yak,What are the properties of a yak?,yak
yarn,What are the properties of a yarn?,yarn
yo-yo,What are the properties of a yo-yo?,yo-yo
yogurt,What are the properties of a yogurt?,yogurt
yoke,What are the properties of a yoke?,yoke
yolk,What are the properties of a yolk?,yolk
zipper,What are the properties of a zipper?,zipper
zucchini,What are the properties of a zucchini?,zucchini
bat,What are the properties of a bat (sports equipment)?,bat2
baton,What are the properties of a baton (musical equipment)?,baton1
baton,What are the properties of a baton (weapon)?,baton2
baton,What are the properties of a baton (sports equipment)?,baton4
bow,What are the properties of a bow (hair accessory)?,bow1
bow,"What are the properties of a bow (weapon, hunting equipment)?",bow2
bow,"What are the properties of a bow (decoration, gift decoration)?",bow3
bracelet,What are the properties of a bracelet (jewelry)?,bracelet2
button,"What are the properties of a button (clothing accessory, clothing fastener)?",button1
button,What are the properties of a button (activator)?,button2
camera,"What are the properties of a camera (recording device, electronic device)?",camera1
camera,"What are the properties of a camera (camera accessory, photography equipment)?",camera2
chest,What are the properties of a chest (body part)?,chest1
chest,"What are the properties of a chest (furniture, storage)?",chest2
chicken,What are the properties of a chicken (fencing)?,chicken2
clipper,What are the properties of a clipper (garden tool)?,clipper1
clipper,What are the properties of a clipper (grooming tool)?,clipper2
crystal,"What are the properties of a crystal (rock, mineral, gemstone)?",crystal1
crystal,What are the properties of a crystal (fortune telling device)?,crystal2
file,What are the properties of a file (tool)?,file1
hook,"What are the properties of a hook (hardware, tool)?",hook2
juicer,What are the properties of a juicer (kitchen appliance)?,juicer2
mold,What are the properties of a mold (baking tool)?,mold1
mold,What are the properties of a mold (fungus)?,mold2
pepper,What are the properties of a pepper (vegetable)?,pepper1
pepper,What are the properties of a pepper (kitchen tool)?,pepper2
pipe,What are the properties of a pipe (plumbing equipment)?,pipe2
punch,What are the properties of a punch (drink)?,punch1
rack,"What are the properties of a rack (storage equipment, furniture, storage)?",rack1
rack,What are the properties of a rack (furniture)?,rack2
screen,"What are the properties of a screen (mesh, barrier)?",screen2
shell,What are the properties of a shell (ammunition)?,shell1
shell,"What are the properties of a shell (animal part, exoskeleton)?",shell2
stamp,What are the properties of a stamp (postage)?,stamp1
stamp,"What are the properties of a stamp (craft supply, art supply)?",stamp2
stove,What are the properties of a stove (kitchen appliance)?,stove2
straw,"What are the properties of a straw (animal food, agricultural product)?",straw1
straw,What are the properties of a straw (drinking utensil)?,straw2
tank,What are the properties of a tank (military vehicle)?,tank1
tank,"What are the properties of a tank (container, storage)?",tank2
walker,"What are the properties of a walker (mobility device, medical equipment)?",walker1
walker,"What are the properties of a walker (baby equipment, baby toy)?",walker2
aardvark,What are the properties of an aardvark (animal)?,aardvark
acorn,What are the properties of an acorn (nut)?,acorn
album,What are the properties of an album (book)?,album
aluminum foil,"What are the properties of an aluminum foil (food packaging, food storage)?",aluminum_foil
balance beam,What are the properties of a balance beam (gymnastics equipment)?,balance_beam
bank,What are the properties of a bank (money storage container)?,bank
banner,What are the properties of a banner (sign)?,banner
baseball,What are the properties of a baseball (sports equipment)?,baseball
basketball,What are the properties of a basketball (sports equipment)?,basketball
bin,What are the properties of a bin (container)?,bin
blind,What are the properties of a blind (window covering)?,blind
blinder,What are the properties of a blinder (horse equipment)?,blinder
boa,What are the properties of a boa (feather boa)?,boa
board,"What are the properties of a board (building material, wood)?",board
bolt,What are the properties of a bolt (hardware)?,bolt
bongo,"What are the properties of a bongo (musical instrument, percussion instrument)?",bongo
bumper,What are the properties of a bumper (part of car)?,bumper
cabinet,"What are the properties of a cabinet (storage, kitchen furniture)?",cabinet
can,"What are the properties of a can (drink container, container)?",can
cane,What are the properties of a cane (medical equipment)?,cane
canvas,What are the properties of a canvas (art supply)?,canvas
car seat,What are the properties of a car seat (part of car)?,car_seat
card,What are the properties of a card (game)?,card
charger,What are the properties of a charger (electronic accessory)?,charger
chip,"What are the properties of a chip (computer hardware, electronic component)?",chip
cleat,"What are the properties of a cleat (shoe, sports equipment)?",cleat
column,What are the properties of a column (architectural element)?,column
crane,What are the properties of a crane (construction equipment)?,crane
crate,"What are the properties of a crate (container, shipping accessory)?",crate
cream,What are the properties of a cream (beauty product)?,cream
crown,What are the properties of a crown (headwear)?,crown
dolly,What are the properties of a dolly (moving equipment)?,dolly
drumstick,What are the properties of a drumstick (musical equipment)?,drumstick
dynamite,What are the properties of a dynamite (explosive)?,dynamite
eclair,What are the properties of an eclair (pastry)?,eclair
face mask,"What are the properties of a face mask (sports equipment, protective clothing)?",face_mask
film,What are the properties of a film (film strip)?,film
flipper,What are the properties of a flipper (swimming equipment)?,flipper
frame,What are the properties of a frame (painting)?,frame
garter,"What are the properties of a garter (clothing accessory, wedding accessory)?",garter
glass,What are the properties of a glass (drinkware)?,glass
globe,What are the properties of a globe (geography device)?,globe
gourd,What are the properties of a gourd (vegetable)?,gourd
grille,What are the properties of a grille (part of car)?,grille
hairpin,What are the properties of a hairpin (hair accessory)?,hairpin
handlebar,What are the properties of a handlebar (part of bicycle)?,handlebar
hash,What are the properties of a hash (food)?,hash
honeypot,"What are the properties of a honeypot (container, kitchen storage)?",honeypot
iron,"What are the properties of an iron (household appliance, home appliance)?",iron
jack,"What are the properties of a jack (car tool, tool)?",jack
keyboard,What are the properties of a keyboard (musical instrument)?,keyboard
lifesaver,"What are the properties of a lifesaver (flotation device, safety device)?",lifesaver
mantle,What are the properties of a mantle (fireplace part)?,mantle
mast,What are the properties of a mast (part of boat)?,mast
mixer,What are the properties of a mixer (kitchen appliance)?,mixer
moccasin,"What are the properties of a moccasin (shoe, footwear)?",moccasin
mouthpiece,"What are the properties of a mouthpiece (sports equipment, protective sports gear)?",mouthpiece
mullet,What are the properties of a mullet (hairstyle)?,mullet
nail,"What are the properties of a nail (hardware, fastener)?",nail
noisemaker,What are the properties of a noisemaker (party supply)?,noisemaker
nutcracker,What are the properties of a nutcracker (kitchen tool)?,nutcracker
organ,What are the properties of an organ (musical instrument)?,organ
patch,What are the properties of a patch (clothing accessory)?,patch
poker,What are the properties of a poker (fireplace tool)?,poker
polisher,What are the properties of a polisher (tool)?,polisher
radiator,"What are the properties of a radiator (heating device, home appliance)?",radiator
ramp,What are the properties of a ramp (handicap accessibility feature)?,ramp
reel,What are the properties of a reel (film equipment)?,reel
retainer,What are the properties of a retainer (dental device)?,retainer
rim,What are the properties of a rim (tire rim)?,rim
riser,"What are the properties of a riser (seat, stage equipment)?",riser
roadsweeper,What are the properties of a roadsweeper (vehicle)?,roadsweeper
saddle,What are the properties of a saddle (sports equipment)?,saddle
scale,What are the properties of a scale (weight measurement tool)?,scale
scanner,What are the properties of a scanner (office equipment)?,scanner
scoop,"What are the properties of a scoop (kitchen tool, utensil)?",scoop
scooter,"What are the properties of a scooter (vehicle, toy)?",scooter
sheath,What are the properties of a sheath (knife accessory)?,sheath
shoulder,What are the properties of a shoulder (body part)?,shoulder
sidecar,What are the properties of a sidecar (motorcycle accessory)?,sidecar
siren,What are the properties of a siren (alarm)?,siren
skewer,What are the properties of a skewer (kitchen tool)?,skewer
sling,What are the properties of a sling (arm sling)?,sling
slot,What are the properties of a slot (hole)?,slot
staple,What are the properties of a staple (office supply)?,staple
stilt,"What are the properties of a stilt (walking device, toy)?",stilt
stool,"What are the properties of a stool (furniture, chair, seat)?",stool
swab,What are the properties of a swab (personal hygiene item)?,swab
tab,"What are the properties of a tab (part of can, part of can)?",tab
tack,"What are the properties of a tack (fastener, office supply)?",tack
tag,What are the properties of a tag (label)?,tag
tape,What are the properties of a tape (office supply)?,tape
tee,What are the properties of a tee (golf equipment)?,tee
tile,"What are the properties of a tile (building material, flooring)?",tile
trunk,"What are the properties of a trunk (storage, container)?",trunk
valve,"What are the properties of a valve (plumbing equipment, plumbing hardware)?",valve
water fountain,What are the properties of a water fountain (water dispenser)?,water_fountain
wedge,What are the properties of a wedge (tool)?,wedge
wine cooler,"What are the properties of a wine cooler (kitchen equipment, wine accessory)?",wine_cooler
wing,What are the properties of a wing (part of airplane)?,wing
baton,What are the properties of a baton (drum major)?,baton3
bracelet,What are the properties of a bracelet (wristband)?,bracelet1
calf,What are the properties of a calf (leg)?,calf2
file,What are the properties of a file (card index)?,file2
hook,What are the properties of a hook (door hook)?,hook1
juicer,What are the properties of a juicer (citrus fruit squeezer)?,juicer1
mouse,What are the properties of a mouse (computer mouse)?,mouse2
punch,What are the properties of a punch (pliers)?,punch2
screen,What are the properties of a screen (projection)?,screen1
shell,What are the properties of a shell (nut shell)?,shell3
stove,What are the properties of a stove (kitchen stove)?,stove1
